t P_alpha_to_beta P_alpha_to_alpha 2sin2theta_cos2theta
1.536154e-01 1.631916e-01 8.368084e-01 3.540367e-01
1.540154e-01 1.639468e-01 8.360532e-01 3.540367e-01
1.544154e-01 1.647031e-01 8.352969e-01 3.540367e-01
1.548155e-01 1.654603e-01 8.345397e-01 3.540367e-01
1.552155e-01 1.662185e-01 8.337815e-01 3.540367e-01
1.556156e-01 1.669778e-01 8.330222e-01 3.540367e-01
1.560156e-01 1.677380e-01 8.322620e-01 3.540367e-01
1.564156e-01 1.684993e-01 8.315007e-01 3.540367e-01
1.568157e-01 1.692615e-01 8.307385e-01 3.540367e-01
1.572157e-01 1.700247e-01 8.299753e-01 3.540367e-01
1.576158e-01 1.707888e-01 8.292112e-01 3.540367e-01
1.580158e-01 1.715540e-01 8.284460e-01 3.540367e-01
1.584158e-01 1.723200e-01 8.276800e-01 3.540367e-01
1.588159e-01 1.730871e-01 8.269129e-01 3.540367e-01
1.592159e-01 1.738551e-01 8.261449e-01 3.540367e-01
1.596160e-01 1.746240e-01 8.253760e-01 3.540367e-01
1.600160e-01 1.753938e-01 8.246062e-01 3.540367e-01
1.604160e-01 1.761646e-01 8.238354e-01 3.540367e-01
1.608161e-01 1.769363e-01 8.230637e-01 3.540367e-01
1.612161e-01 1.777089e-01 8.222911e-01 3.540367e-01
1.616162e-01 1.784824e-01 8.215176e-01 3.540367e-01
1.620162e-01 1.792568e-01 8.207432e-01 3.540367e-01
1.624162e-01 1.800321e-01 8.199679e-01 3.540367e-01
1.628163e-01 1.808083e-01 8.191917e-01 3.540367e-01
1.632163e-01 1.815853e-01 8.184147e-01 3.540367e-01
1.636164e-01 1.823632e-01 8.176368e-01 3.540367e-01
1.640164e-01 1.831420e-01 8.168580e-01 3.540367e-01
1.644164e-01 1.839217e-01 8.160783e-01 3.540367e-01
1.648165e-01 1.847022e-01 8.152978e-01 3.540367e-01
1.652165e-01 1.854835e-01 8.145165e-01 3.540367e-01
1.656166e-01 1.862657e-01 8.137343e-01 3.540367e-01
1.660166e-01 1.870487e-01 8.129513e-01 3.540367e-01
1.664166e-01 1.878326e-01 8.121674e-01 3.540367e-01
1.668167e-01 1.886172e-01 8.113828e-01 3.540367e-01
1.672167e-01 1.894027e-01 8.105973e-01 3.540367e-01
1.676168e-01 1.901890e-01 8.098110e-01 3.540367e-01
1.680168e-01 1.909761e-01 8.090239e-01 3.540367e-01
1.684168e-01 1.917639e-01 8.082361e-01 3.540367e-01
1.688169e-01 1.925526e-01 8.074474e-01 3.540367e-01
1.692169e-01 1.933420e-01 8.066580e-01 3.540367e-01
1.696170e-01 1.941322e-01 8.058678e-01 3.540367e-01
1.700170e-01 1.949232e-01 8.050768e-01 3.540367e-01
1.704170e-01 1.957149e-01 8.042851e-01 3.540367e-01
1.708171e-01 1.965074e-01 8.034926e-01 3.540367e-01
1.712171e-01 1.973006e-01 8.026994e-01 3.540367e-01
1.716172e-01 1.980946e-01 8.019054e-01 3.540367e-01
1.720172e-01 1.988893e-01 8.011107e-01 3.540367e-01
